Experiement  date published(based on article),container Material,How Submerged,Temp(C),Time(Min),Starting Cell Count(Log CFU/g),Cell Count(Log CFU/g),Dataset Origin
2023-Mvuyekure,plastic,entirely,60,0,8.23,8.23,Dataset with the blood Summary
2023-Mvuyekure,plastic,entirely,60,1,8.23,8.31,
2023-Mvuyekure,plastic,entirely,60,3,8.23,7.96,
2023-Mvuyekure,plastic,entirely,60,5,8.23,7.43,
2023-Mvuyekure,plastic,entirely,60,7.5,8.23,5.97,
2023-Mvuyekure,plastic,entirely,60,10,8.23,5.18,
2023-Mvuyekure,plastic,entirely,60,12,8.23,4.04,
2023-Mvuyekure,plastic,entirely,60,15,8.23,2.66,
2023-Mvuyekure,plastic,entirely,60,20,8.23,2.08,
2023-Mvuyekure,plastic,entirely,60,30,8.23,0.9,
2023-Mvuyekure,plastic,entirely,60,60,8.23,0.9,
2023-Mvuyekure,plastic,entirely,60,0,7.94,7.94,
2023-Mvuyekure,plastic,entirely,60,1,7.94,8.2,
2023-Mvuyekure,plastic,entirely,60,3,7.94,8.3,
2023-Mvuyekure,plastic,entirely,60,5,7.94,7.54,
2023-Mvuyekure,plastic,entirely,60,7.5,7.94,5.62,
2023-Mvuyekure,plastic,entirely,60,10,7.94,4.92,
2023-Mvuyekure,plastic,entirely,60,12,7.94,4.31,
2023-Mvuyekure,plastic,entirely,60,15,7.94,2.32,
2023-Mvuyekure,plastic,entirely,60,20,7.94,1.95,
2023-Mvuyekure,plastic,entirely,60,30,7.94,1.3,
2023-Mvuyekure,plastic,entirely,60,60,7.94,0.9,
2023-Mvuyekure,plastic,entirely,60,0,8.22,8.22,
2023-Mvuyekure,plastic,entirely,60,1,8.22,8.1,
2023-Mvuyekure,plastic,entirely,60,3,8.22,8.16,
2023-Mvuyekure,plastic,entirely,60,5,8.22,6.91,
2023-Mvuyekure,plastic,entirely,60,7.5,8.22,5.62,
2023-Mvuyekure,plastic,entirely,60,10,8.22,4.73,
2023-Mvuyekure,plastic,entirely,60,12,8.22,4.28,
2023-Mvuyekure,plastic,entirely,60,15,8.22,2.79,
2023-Mvuyekure,plastic,entirely,60,20,8.22,1.9,
2023-Mvuyekure,plastic,entirely,60,30,8.22,0.9,
2023-Mvuyekure,plastic,entirely,60,60,8.22,0.9,
2023-Mvuyekure,plastic,entirely,70,0,8.18,8.18,
2023-Mvuyekure,plastic,entirely,70,1,8.18,7.86,
2023-Mvuyekure,plastic,entirely,70,2,8.18,7.43,
2023-Mvuyekure,plastic,entirely,70,3,8.18,5.1,
2023-Mvuyekure,plastic,entirely,70,4,8.18,3.26,
2023-Mvuyekure,plastic,entirely,70,5,8.18,1,
2023-Mvuyekure,plastic,entirely,70,6,8.18,0.9,
2023-Mvuyekure,plastic,entirely,70,7,8.18,0.9,
2023-Mvuyekure,plastic,entirely,70,8,8.18,0.9,
2023-Mvuyekure,plastic,entirely,70,10,8.18,0.9,
2023-Mvuyekure,plastic,entirely,70,0,8.23,8.23,
2023-Mvuyekure,plastic,entirely,70,1,8.23,7.76,
2023-Mvuyekure,plastic,entirely,70,2,8.23,7.38,
2023-Mvuyekure,plastic,entirely,70,3,8.23,5.32,
2023-Mvuyekure,plastic,entirely,70,4,8.23,3.37,
2023-Mvuyekure,plastic,entirely,70,5,8.23,0.9,
2023-Mvuyekure,plastic,entirely,70,6,8.23,0.9,
2023-Mvuyekure,plastic,entirely,70,7,8.23,0.9,
2023-Mvuyekure,plastic,entirely,70,8,8.23,0.9,
2023-Mvuyekure,plastic,entirely,70,10,8.23,0.9,
2023-Mvuyekure,plastic,entirely,70,0,8.19,8.19,
2023-Mvuyekure,plastic,entirely,70,1,8.19,7.81,
2023-Mvuyekure,plastic,entirely,70,2,8.19,7.47,
2023-Mvuyekure,plastic,entirely,70,3,8.19,5.67,
2023-Mvuyekure,plastic,entirely,70,4,8.19,3.22,
2023-Mvuyekure,plastic,entirely,70,5,8.19,0.9,
2023-Mvuyekure,plastic,entirely,70,6,8.19,0.9,
2023-Mvuyekure,plastic,entirely,70,7,8.19,0.9,
2023-Mvuyekure,plastic,entirely,70,8,8.19,0.9,
2023-Mvuyekure,plastic,entirely,70,10,8.19,0.9,
2023-Mvuyekure,plastic,entirely,80,0,8.16,8.16,
2023-Mvuyekure,plastic,entirely,80,0.5,8.16,7.93,
2023-Mvuyekure,plastic,entirely,80,1,8.16,7.79,
2023-Mvuyekure,plastic,entirely,80,1.5,8.16,6.24,
2023-Mvuyekure,plastic,entirely,80,2,8.16,3.72,
2023-Mvuyekure,plastic,entirely,80,2.5,8.16,0.9,
2023-Mvuyekure,plastic,entirely,80,3,8.16,0.9,
2023-Mvuyekure,plastic,entirely,80,3.5,8.16,0.9,
2023-Mvuyekure,plastic,entirely,80,4,8.16,0.9,
2023-Mvuyekure,plastic,entirely,80,4.5,8.16,0.9,
2023-Mvuyekure,plastic,entirely,80,5,8.16,0.9,
2023-Mvuyekure,plastic,entirely,80,0,8.07,8.07,
2023-Mvuyekure,plastic,entirely,80,0.5,8.07,7.76,
2023-Mvuyekure,plastic,entirely,80,1,8.07,7.67,
2023-Mvuyekure,plastic,entirely,80,1.5,8.07,5.97,
2023-Mvuyekure,plastic,entirely,80,2,8.07,3.02,
2023-Mvuyekure,plastic,entirely,80,2.5,8.07,0.9,
2023-Mvuyekure,plastic,entirely,80,3,8.07,0.9,
2023-Mvuyekure,plastic,entirely,80,3.5,8.07,0.9,
2023-Mvuyekure,plastic,entirely,80,4,8.07,0.9,
2023-Mvuyekure,plastic,entirely,80,4.5,8.07,0.9,
2023-Mvuyekure,plastic,entirely,80,5,8.07,0.9,
2023-Mvuyekure,plastic,entirely,80,0,7.88,7.88,
2023-Mvuyekure,plastic,entirely,80,0.5,7.88,7.78,
2023-Mvuyekure,plastic,entirely,80,1,7.88,8,
2023-Mvuyekure,plastic,entirely,80,1.5,7.88,5.76,
2023-Mvuyekure,plastic,entirely,80,2,7.88,3.4,
2023-Mvuyekure,plastic,entirely,80,2.5,7.88,1.7,
2023-Mvuyekure,plastic,entirely,80,3,7.88,0.9,
2023-Mvuyekure,plastic,entirely,80,3.5,7.88,0.9,
2023-Mvuyekure,plastic,entirely,80,4,7.88,0.9,
2023-Mvuyekure,plastic,entirely,80,4.5,7.88,0.9,
2023-Mvuyekure,plastic,entirely,80,5,7.88,0.9,
2017-Jones-Ibarra,metal,entirely,65.5,0,6.72,6.72,sent afterwards  seperatly 
2017-Jones-Ibarra,metal,entirely,65.5,0.5,6.72,4.47,
2017-Jones-Ibarra,metal,entirely,65.5,1,6.72,2.3,
2017-Jones-Ibarra,metal,entirely,65.5,5,6.72,2.79,
2017-Jones-Ibarra,metal,entirely,65.5,10,6.72,0.9,
2017-Jones-Ibarra,metal,entirely,65.5,15,6.72,0.9,
2017-Jones-Ibarra,metal,entirely,65.5,0,6.38,6.38,
2017-Jones-Ibarra,metal,entirely,65.5,0.5,6.38,3.38,
2017-Jones-Ibarra,metal,entirely,65.5,1,6.38,3.12,
2017-Jones-Ibarra,metal,entirely,65.5,5,6.38,2,
2017-Jones-Ibarra,metal,entirely,65.5,10,6.38,0.9,
2017-Jones-Ibarra,metal,entirely,65.5,15,6.38,0.9,
2017-Jones-Ibarra,metal,entirely,65.5,0,5.3,5.3,
2017-Jones-Ibarra,metal,entirely,65.5,0.5,5.3,1.74,
2017-Jones-Ibarra,metal,entirely,65.5,1,5.3,0.9,
2017-Jones-Ibarra,metal,entirely,65.5,5,5.3,0.9,
2017-Jones-Ibarra,metal,entirely,65.5,10,5.3,0.9,
2017-Jones-Ibarra,metal,entirely,65.5,15,5.3,0.9,
2017-Jones-Ibarra,metal,entirely,68.3,0,6.64,6.64,
2017-Jones-Ibarra,metal,entirely,68.3,0.5,6.64,0.9,
2017-Jones-Ibarra,metal,entirely,68.3,1,6.64,0.9,
2017-Jones-Ibarra,metal,entirely,68.3,5,6.64,0.9,
2017-Jones-Ibarra,metal,entirely,68.3,10,6.64,0.9,
2017-Jones-Ibarra,metal,entirely,68.3,15,6.64,0.9,
2017-Jones-Ibarra,metal,entirely,68.3,0,7.24,7.24,
2017-Jones-Ibarra,metal,entirely,68.3,0.5,7.24,2.69,
2017-Jones-Ibarra,metal,entirely,68.3,1,7.24,0.9,
2017-Jones-Ibarra,metal,entirely,68.3,5,7.24,0.9,
2017-Jones-Ibarra,metal,entirely,68.3,10,7.24,0.9,
2017-Jones-Ibarra,metal,entirely,68.3,15,7.24,0.9,
2017-Jones-Ibarra,metal,entirely,68.3,0,6.48,6.48,
2017-Jones-Ibarra,metal,entirely,68.3,0.5,6.48,1.48,
2017-Jones-Ibarra,metal,entirely,68.3,1,6.48,0.9,
2017-Jones-Ibarra,metal,entirely,68.3,5,6.48,0.9,
2017-Jones-Ibarra,metal,entirely,68.3,10,6.48,0.9,
2017-Jones-Ibarra,metal,entirely,68.3,15,6.48,0.9,
2017-Jones-Ibarra,metal,entirely,71.1,0,6.46,6.46,
2017-Jones-Ibarra,metal,entirely,71.1,0.5,6.46,0.9,
2017-Jones-Ibarra,metal,entirely,71.1,1,6.46,0.9,
2017-Jones-Ibarra,metal,entirely,71.1,5,6.46,0.9,
2017-Jones-Ibarra,metal,entirely,71.1,10,6.46,0.9,
2017-Jones-Ibarra,metal,entirely,71.1,15,6.46,0.9,
2017-Jones-Ibarra,metal,entirely,71.1,0,6.95,6.95,
2017-Jones-Ibarra,metal,entirely,71.1,0.5,6.95,0.9,
2017-Jones-Ibarra,metal,entirely,71.1,1,6.95,0.9,
2017-Jones-Ibarra,metal,entirely,71.1,5,6.95,0.9,
2017-Jones-Ibarra,metal,entirely,71.1,10,6.95,0.9,
2017-Jones-Ibarra,metal,entirely,71.1,15,6.95,0.9,
2017-Jones-Ibarra,metal,entirely,71.1,0,6.88,6.88,
2017-Jones-Ibarra,metal,entirely,71.1,0.5,6.88,0.9,
2017-Jones-Ibarra,metal,entirely,71.1,1,6.88,0.9,
2017-Jones-Ibarra,metal,entirely,71.1,5,6.88,0.9,
2017-Jones-Ibarra,metal,entirely,71.1,10,6.88,0.9,
2017-Jones-Ibarra,metal,entirely,71.1,15,6.88,0.9,
2017-Jones-Ibarra,metal,entirely,60,0,7.22,7.22,Salmonella cocktail
2017-Jones-Ibarra,metal,entirely,60,15,7.22,1.3,
2017-Jones-Ibarra,metal,entirely,60,30,7.22,0.9,
2017-Jones-Ibarra,metal,entirely,60,45,7.22,0.9,
2017-Jones-Ibarra,metal,entirely,60,60,7.22,0.9,
2017-Jones-Ibarra,metal,entirely,60,0,7.11,7.11,
2017-Jones-Ibarra,metal,entirely,60,15,7.11,0.9,
2017-Jones-Ibarra,metal,entirely,60,30,7.11,0.9,
2017-Jones-Ibarra,metal,entirely,60,45,7.11,0.9,
2017-Jones-Ibarra,metal,entirely,60,60,7.11,0.9,
2020-Wong,metal,partially,82.2,0,7.06,7.06,Blood and feather but no summary
2020-Wong,metal,partially,82.2,0.5,7.06,7.012,
2020-Wong,metal,partially,82.2,1,7.06,6.806,
2020-Wong,metal,partially,82.2,2,7.06,5.929,
2020-Wong,metal,partially,82.2,3,7.06,4.602,
2020-Wong,metal,partially,82.2,4,7.06,4.371,
2020-Wong,metal,partially,82.2,5,7.06,1.505,
2020-Wong,metal,partially,82.2,0,7.053,7.053,
2020-Wong,metal,partially,82.2,0.5,7.053,7.008,
2020-Wong,metal,partially,82.2,1,7.053,6.812,
2020-Wong,metal,partially,82.2,2,7.053,5.832,
2020-Wong,metal,partially,82.2,3,7.053,4.462,
2020-Wong,metal,partially,82.2,4,7.053,4.276,
2020-Wong,metal,partially,82.2,5,7.053,1.342,
2020-Wong,metal,partially,82.2,0,6.968,6.968,
2020-Wong,metal,partially,82.2,0.5,6.968,5.924,
2020-Wong,metal,partially,82.2,1,6.968,5.653,
2020-Wong,metal,partially,82.2,2,6.968,5.812,
2020-Wong,metal,partially,82.2,3,6.968,4.544,
2020-Wong,metal,partially,82.2,4,6.968,0.9,
2020-Wong,metal,partially,82.2,5,6.968,0.9,
2020-Wong,metal,partially,87.7,0,7.06,7.06,
2020-Wong,metal,partially,87.7,0.5,7.06,6.869,
2020-Wong,metal,partially,87.7,1,7.06,6.869,
2020-Wong,metal,partially,87.7,2,7.06,4.662,
2020-Wong,metal,partially,87.7,3,7.06,3.311,
2020-Wong,metal,partially,87.7,4,7.06,1.662,
2020-Wong,metal,partially,87.7,5,7.06,0.9,
2020-Wong,metal,partially,87.7,0,7.053,7.053,
2020-Wong,metal,partially,87.7,0.5,7.053,6.812,
2020-Wong,metal,partially,87.7,1,7.053,6.462,
2020-Wong,metal,partially,87.7,2,7.053,1.88,
2020-Wong,metal,partially,87.7,3,7.053,1.176,
2020-Wong,metal,partially,87.7,4,7.053,1,
2020-Wong,metal,partially,87.7,5,7.053,1,
2020-Wong,metal,partially,87.7,0,6.968,6.968,
2020-Wong,metal,partially,87.7,0.5,6.968,5.863,
2020-Wong,metal,partially,87.7,1,6.968,5.431,
2020-Wong,metal,partially,87.7,2,6.968,4.255,
2020-Wong,metal,partially,87.7,3,6.968,0.9,
2020-Wong,metal,partially,87.7,4,6.968,0.9,
2020-Wong,metal,partially,87.7,5,6.968,0.9,
2020-Wong,metal,partially,93.3,0,7.06,7.06,
2020-Wong,metal,partially,93.3,0.5,7.06,1,
2020-Wong,metal,partially,93.3,1,7.06,0.9,
2020-Wong,metal,partially,93.3,2,7.06,0.9,
2020-Wong,metal,partially,93.3,3,7.06,0.9,
2020-Wong,metal,partially,93.3,4,7.06,0.9,
2020-Wong,metal,partially,93.3,5,7.06,0.9,
2020-Wong,metal,partially,93.3,0,7.053,7.053,
2020-Wong,metal,partially,93.3,0.5,7.053,3.414,
2020-Wong,metal,partially,93.3,1,7.053,0.9,
2020-Wong,metal,partially,93.3,2,7.053,0.9,
2020-Wong,metal,partially,93.3,3,7.053,0.9,
2020-Wong,metal,partially,93.3,4,7.053,0.9,
2020-Wong,metal,partially,93.3,5,7.053,0.9,
2020-Wong,metal,partially,93.3,0,6.968,6.968,
2020-Wong,metal,partially,93.3,0.5,6.968,3.832,
2020-Wong,metal,partially,93.3,1,6.968,0.9,
2020-Wong,metal,partially,93.3,2,6.968,0.9,
2020-Wong,metal,partially,93.3,3,6.968,0.9,
2020-Wong,metal,partially,93.3,4,6.968,0.9,
2020-Wong,metal,partially,93.3,5,6.968,0.9,
2021-FSIS-Guideline,pastic,entirely,57.8,63.3,7,0.9,FSIS Chicken Standard 1% Fat
2021-FSIS-Guideline,pastic,entirely,58.1,50.1,7,0.9,
2021-FSIS-Guideline,pastic,entirely,58.9,39.7,7,0.9,
2021-FSIS-Guideline,pastic,entirely,59.4,31.6,7,0.9,
2021-FSIS-Guideline,pastic,entirely,60,25.2,7,0.9,
2021-FSIS-Guideline,pastic,entirely,60.6,20.1,7,0.9,
2021-FSIS-Guideline,pastic,entirely,61.1,16.1,7,0.9,
2021-FSIS-Guideline,pastic,entirely,61.7,13,7,0.9,
2021-FSIS-Guideline,pastic,entirely,62.2,10.4,7,0.9,
2021-FSIS-Guideline,pastic,entirely,62.8,8.4,7,0.9,
2021-FSIS-Guideline,pastic,entirely,63.3,6.8,7,0.9,
2021-FSIS-Guideline,pastic,entirely,63.9,5.5,7,0.9,
2021-FSIS-Guideline,pastic,entirely,64.4,4.4,7,0.9,
2021-FSIS-Guideline,pastic,entirely,65,3.5,7,0.9,
2021-FSIS-Guideline,pastic,entirely,65.5,2.7,7,0.9,
2021-FSIS-Guideline,pastic,entirely,66.1,2.1,7,0.9,
2021-FSIS-Guideline,pastic,entirely,66.7,1.5,7,0.9,
2021-FSIS-Guideline,pastic,entirely,67.2,1.2,7,0.9,
2021-FSIS-Guideline,pastic,entirely,67.8,0.93,7,0.9,
2021-FSIS-Guideline,pastic,entirely,68.3,0.74,7,0.9,
2021-FSIS-Guideline,pastic,entirely,68.9,0.58,7,0.9,
2021-FSIS-Guideline,pastic,entirely,69.4,0.46,7,0.9,
2021-FSIS-Guideline,pastic,entirely,70,0.36,7,0.9,
2021-FSIS-Guideline,pastic,entirely,70.6,0.28,7,0.9,
2021-FSIS-Guideline,pastic,entirely,71.1,0.23,7,0.9,
2021-FSIS-Guideline,pastic,entirely,71.7,0.18,7,0.9,
